signal_id,timestamp,instrument,instrument_key,signal,trend,confidence,score,entry_price,sl,t1,t2,status,closed_price,closed_at,pnl_pct
ICICIBANK_20260622224601,2026-06-22 22:46:01,ICICIBANK,NSE_EQ|INE090A01021,BUY,Bullish,High,10,1352.4,1347.16,1360.27,1362.89,OPEN,,,
INFY_20260622224601,2026-06-22 22:46:01,INFY,NSE_EQ|INE009A01021,SELL,Bearish,High,10,1065.4,1074.22,1043.34,1030.1,OPEN,,,
AXISBANK_20260622224601,2026-06-22 22:46:01,AXISBANK,NSE_EQ|INE238A01034,BUY,Bullish,High,10,1358.6,1351.86,1368.71,1372.07,OPEN,,,
HCLTECH_20260622224601,2026-06-22 22:46:01,HCLTECH,NSE_EQ|INE860A01027,SELL,Bearish,High,10,1130.5,1141.41,1108.69,1097.78,OPEN,,,
MARUTI_20260622224601,2026-06-22 22:46:01,MARUTI,NSE_EQ|INE585B01010,SELL,Bearish,High,10,13421.0,13510.43,13286.86,13242.14,OPEN,,,
M&M_20260622224601,2026-06-22 22:46:01,M&M,NSE_EQ|INE101A01026,SELL,Bearish,High,10,3063.4,3088.01,3026.49,3014.19,OPEN,,,
APOLLOHOSP_20260622224601,2026-06-22 22:46:01,APOLLOHOSP,NSE_EQ|INE437A01024,BUY,Bullish,High,10,8469.0,8400.71,8571.43,8605.57,OPEN,,,
BPCL_20260622224601,2026-06-22 22:46:01,BPCL,NSE_EQ|INE029A01011,SELL,Bearish,High,10,308.6,310.83,305.26,304.15,OPEN,,,
HINDALCO_20260622224601,2026-06-22 22:46:01,HINDALCO,NSE_EQ|INE038A01020,BUY,Bullish,High,10,1014.2,1007.5,1024.25,1027.6,OPEN,,,
JINDALSTEL_20260622224601,2026-06-22 22:46:01,JINDALSTEL,NSE_EQ|INE749A01030,SELL,Bearish,High,10,1132.0,1144.07,1113.9,1107.86,OPEN,,,
TCS_20260622224601,2026-06-22 22:46:01,TCS,NSE_EQ|INE467B01029,SELL,Bearish,High,9,2127.8,2149.51,2073.53,2040.98,OPEN,,,
WIPRO_20260622224601,2026-06-22 22:46:01,WIPRO,NSE_EQ|INE075A01022,SELL,Bearish,High,9,180.18,181.8,176.93,175.31,OPEN,,,
ONGC_20260622224601,2026-06-22 22:46:01,ONGC,NSE_EQ|INE213A01029,SELL,Bearish,High,9,245.45,246.75,243.5,242.85,OPEN,,,
BAJAJ-AUTO_20260622224601,2026-06-22 22:46:01,BAJAJ-AUTO,NSE_EQ|INE917I01010,BUY,Bullish,High,9,10191.0,10121.89,10294.66,10329.21,OPEN,,,
HEROMOTOCO_20260622224601,2026-06-22 22:46:01,HEROMOTOCO,NSE_EQ|INE158A01026,SELL,Bearish,High,9,4983.7,5031.41,4912.13,4888.27,OPEN,,,
SUNPHARMA_20260622224601,2026-06-22 22:46:01,SUNPHARMA,NSE_EQ|INE044A01036,BUY,Bullish,High,9,1862.9,1854.44,1875.59,1879.81,OPEN,,,
DIVISLAB_20260622224601,2026-06-22 22:46:01,DIVISLAB,NSE_EQ|INE361B01024,BUY,Bullish,High,9,6785.0,6758.96,6824.05,6837.07,OPEN,,,
TATACONSUM_20260622224601,2026-06-22 22:46:01,TATACONSUM,NSE_EQ|INE192A01025,SELL,Bearish,High,9,1112.9,1120.91,1100.89,1096.88,OPEN,,,
Natural Gas (MCX)_20260622224601,2026-06-22 22:46:01,Natural Gas (MCX),MCX_FO|504265,BUY,Bullish,High,9,311.0,309.93,312.61,313.14,OPEN,,,
BANKBARODA_20260623080201,2026-06-23 08:02:01,BANKBARODA,NSE_EQ|INE028A01039,BUY,Bullish,High,10,286.05,282.28,293.6,297.37,OPEN,,,
HINDUNILVR_20260623080201,2026-06-23 08:02:01,HINDUNILVR,NSE_EQ|INE030A01027,SELL,Bearish,High,10,2184.9,2204.19,2155.96,2146.32,OPEN,,,
CIPLA_20260623080201,2026-06-23 08:02:01,CIPLA,NSE_EQ|INE059A01026,BUY,Bullish,High,9,1415.7,1404.44,1443.85,1460.74,OPEN,,,
TATAMOTORS_20260623155005,2026-06-23 15:50:05,TATAMOTORS,NSE_EQ|INE155A01022,SELL,Bearish,Medium,8,354.55,357.63,346.86,342.25,OPEN,,,
